decision	archive	image	field	expectedSide	verdict	discriminator	standingValue	treeDigest	preDigest	liveDigest	v84Digest	note
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022517	v84	OK-UNCHANGED	REAL	v84	8a012fad2ccb	8a012fad2ccb	77c6b72305c0	8a012fad2ccb	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022518	v84	OK-UNCHANGED	REAL	v84	6b3379d09311	6b3379d09311	43ceaa53853c	6b3379d09311	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022519	v84	OK-UNCHANGED	REAL	v84	d0ff3a437b24	d0ff3a437b24	4b362d75308d	d0ff3a437b24	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022520	v84	OK-UNCHANGED	REAL	v84	f79c6ca8dd11	f79c6ca8dd11	6c3dbbe732de	f79c6ca8dd11	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022521	v84	OK-UNCHANGED	REAL	v84	54da09935881	54da09935881	9fe7affe0afa	54da09935881	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022522	v84	OK-UNCHANGED	REAL	v84	e4087a28f7bc	e4087a28f7bc	38d0887deb5a	e4087a28f7bc	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022523	v84	OK-UNCHANGED	REAL	v84	d5bf0812683b	d5bf0812683b	cdc5ef1c491c	d5bf0812683b	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022524	v84	OK-UNCHANGED	REAL	v84	b825d1e0777c	b825d1e0777c	0a35ed5dd4dc	b825d1e0777c	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022539	v84	OK-UNCHANGED	REAL	v84	fbbe13a9b70c	fbbe13a9b70c	7121a1e51ab4	fbbe13a9b70c	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022540	v84	OK-UNCHANGED	REAL	v84	91fc50235c13	91fc50235c13	d8e899d352fd	91fc50235c13	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022541	v84	OK-UNCHANGED	REAL	v84	c404b428324a	c404b428324a	75c0215f3098	c404b428324a	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022542	v84	OK-UNCHANGED	REAL	v84	06145ba8c6fd	06145ba8c6fd	f3f2d3d432a8	06145ba8c6fd	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022543	v84	OK-UNCHANGED	REAL	v84	54fea07129c9	54fea07129c9	67532afdc421	54fea07129c9	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022547	v84	OK-UNCHANGED	REAL	v84	aa76d4473653	aa76d4473653	15aec5c60177	aa76d4473653	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022548	v84	OK-UNCHANGED	REAL	v84	f00bfa0dee1f	f00bfa0dee1f	5d38768b857f	f00bfa0dee1f	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022549	v84	OK-UNCHANGED	REAL	v84	c18ffc1a4edf	c18ffc1a4edf	713b7df56695	c18ffc1a4edf	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022637	v84	OK-UNCHANGED	REAL	v84	2e9c5a6ea795	2e9c5a6ea795	-	2e9c5a6ea795	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022642	v84	OK-UNCHANGED	REAL	v84	909545b8e303	909545b8e303	-	909545b8e303	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022652	v84	OK-UNCHANGED	REAL	v84	511e423fee75	511e423fee75	-	511e423fee75	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022653	v84	OK-UNCHANGED	REAL	v84	7fb91c8b056e	7fb91c8b056e	-	7fb91c8b056e	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022654	v84	OK-UNCHANGED	REAL	v84	58a8ebe26f28	58a8ebe26f28	-	58a8ebe26f28	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022655	v84	OK-UNCHANGED	REAL	v84	80b9469d948c	80b9469d948c	-	80b9469d948c	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022656	v84	OK-UNCHANGED	REAL	v84	37eac699f768	37eac699f768	-	37eac699f768	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022657	v84	OK-UNCHANGED	REAL	v84	ec740e5db828	ec740e5db828	-	ec740e5db828	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022658	v84	OK-UNCHANGED	REAL	v84	5ddd46f17758	5ddd46f17758	-	5ddd46f17758	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022659	v84	OK-UNCHANGED	REAL	v84	ce2d956d2ed5	ce2d956d2ed5	-	ce2d956d2ed5	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022660	v84	OK-UNCHANGED	REAL	v84	a06b385fd2e9	a06b385fd2e9	-	a06b385fd2e9	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022661	v84	OK-UNCHANGED	REAL	v84	e93bebb6976e	e93bebb6976e	-	e93bebb6976e	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022662	v84	OK-UNCHANGED	REAL	v84	3ccd75e1f001	3ccd75e1f001	-	3ccd75e1f001	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0202.img	Item.wz/Consume/0202.img/02022695	v84	OK-UNCHANGED	REAL	v84	b2ce8290b9aa	b2ce8290b9aa	-	b2ce8290b9aa	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02040120	v84	OK-UNCHANGED	REAL	v84	27de83a50a7a	27de83a50a7a	-	27de83a50a7a	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02040211	v84	OK-UNCHANGED	REAL	v84	1ee65d707aa2	1ee65d707aa2	-	1ee65d707aa2	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02040212	v84	OK-UNCHANGED	REAL	v84	11a8e787d601	11a8e787d601	-	11a8e787d601	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02040227	v84	OK-UNCHANGED	REAL	v84	c7973c48682f	c7973c48682f	-	c7973c48682f	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02040228	v84	OK-UNCHANGED	REAL	v84	858b8c4b8869	858b8c4b8869	-	858b8c4b8869	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02040229	v84	OK-UNCHANGED	REAL	v84	9a974e47aa06	9a974e47aa06	-	9a974e47aa06	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02040230	v84	OK-UNCHANGED	REAL	v84	b87fbec111ac	b87fbec111ac	-	b87fbec111ac	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02043714	v84	OK-UNCHANGED	REAL	v84	1e92207f0aa1	1e92207f0aa1	-	1e92207f0aa1	
A-MERGE-BOTH/v84-side	Item	Item.wz/Consume/0204.img	Item.wz/Consume/0204.img/02043814	v84	OK-UNCHANGED	REAL	v84	3ed87f015194	3ed87f015194	-	3ed87f015194	
